sku_name,others
小王子坚强de土豆焙烤薯片意式红烩味袋装80克,其他_薯片
小王子坚强de土豆焙烤薯片清新番茄味袋装80克,其他_薯片
小王子坚强de土豆焙烤薯片醇香原味袋装80克,其他_薯片
小王子坚强de土豆焙烤薯片浓情烤肉味袋装80克,其他_薯片
鲁花5S压榨一级花生油瓶装1800毫升,其他_调味品
多力葵花籽油瓶装1800毫升,其他_调味品
金龙鱼葵花籽油瓶装900毫升,其他_调味品
金龙鱼黄金比例食用调和油瓶装900毫升,其他_调味品
金龙鱼黄金比例食用调和油瓶装5000毫升,其他_调味品
长寿花金胚玉米油瓶装5000毫升,其他_调味品
欧丽薇兰橄榄油750毫升两瓶礼盒装,其他_调味品
上悦谷野生山茶油500毫升两瓶礼盒装,其他_调味品
爱之味妞妞蒟蒻红豆粉果罐装260克,其他_调味品
爱之味妞妞甜八宝罐装260克,其他_调味品
爱之味妞妞珍珠圆罐装260克,其他_调味品
爱之味青脆菜心玻璃瓶装180克,其他_调味品
爱之味鲜脆条瓜开味菜玻璃瓶装180克,其他_调味品
爱之味鲜味脆瓜玻璃瓶装180克,其他_调味品
爱之味鲜味脆瓜玻璃瓶装370克,其他_调味品
爱之味珍保玉笋玻璃瓶装120克,其他_调味品
川湘四川辣油玻璃瓶装200毫升,其他_调味品
大茂脆笋袋装110克,其他_调味品
饭扫光麻辣什锦下饭菜玻璃瓶装280克,其他_调味品
饭扫光爽脆木耳下饭菜玻璃瓶装280克,其他_调味品
饭扫光野蕨菜下饭菜玻璃瓶装280克,其他_调味品
饭扫光野香菌下饭菜玻璃瓶装280克,其他_调味品
甘汁园单晶体冰糖袋装400克,其他_调味品
广合白腐乳（添加芝麻油）玻璃瓶装335克,其他_调味品
海底捞麻辣清油火锅底料袋装220克,其他_调味品
海底捞麻辣味火锅蘸料盒装100克,其他_调味品
海天YES黄豆黄豆酱玻璃瓶装230克,其他_调味品
海天海鲜酱调味酱玻璃瓶装250克,其他_调味品
海天锦上鲜排骨酱玻璃瓶装260克,其他_调味品
吉香居红油豇豆泡菜袋装180克,其他_调味品
吉香居酱牛八方脆笋牛肉多玻璃瓶装200克,其他_调味品
吉香居酱牛八方泡菜牛肉多玻璃瓶装200克,其他_调味品
吉香居酱牛八方青椒牛肉多玻璃瓶装200克,其他_调味品
吉香居酱牛八方香菇牛肉多玻璃瓶装200克,其他_调味品
吉香居酱牛八方香菇原味牛肉多玻璃瓶装200克,其他_调味品
吉香居酱牛八方野山椒牛肉多玻璃瓶装200克,其他_调味品
吉香居麻辣三丝泡菜袋装106克,其他_调味品
吉香居牛肉豆豉玻璃瓶装210克,其他_调味品
吉香居青滋味青椒牛肉酱玻璃瓶装240克,其他_调味品
吉香居下饭菜开味泡菜玻璃瓶装266+40克,其他_调味品
吉香居香辣酱牛肉香辣味醇玻璃瓶装188+30克,其他_调味品
佳惠五香粉瓶装28克,其他_调味品
陶华碧老干妈香菇油辣椒玻璃瓶装210克,其他_调味品
陶华碧老干妈香辣脆油辣椒玻璃瓶装210克,其他_调味品
陶华碧老干妈香辣酱玻璃瓶装200克,其他_调味品
乐吃烤扁王天目笋干袋装450克,其他_调味品
乐吃野笋干袋装250克,其他_调味品
李锦记海鲜酱调味酱玻璃瓶装240克,其他_调味品
李锦记海鲜酱调味酱玻璃瓶装397克,其他_调味品
鲁花5S压榨一级花生油瓶装5000毫升,其他_调味品
鲁花压榨葵花仁油瓶装5000毫升,其他_调味品
三丰可味雪菜袋装150克,其他_调味品
松牌下饭菜酱腌菜玻璃瓶装300克,其他_调味品
太古白砂糖袋装400克,其他_调味品
太古红糖袋装350克,其他_调味品
陶华碧老干妈精制牛肉末豆豉油辣椒酱玻璃瓶装210克,其他_调味品
陶华碧老干妈辣三丁油辣椒酱玻璃瓶装210克,其他_调味品
陶华碧老干妈油辣椒酱玻璃瓶装210克,其他_调味品
王守义十三香清真调味品盒装40克,其他_调味品
唯新原味肉酥罐装90克,其他_调味品
唯新猪肉酥（肉粉松）罐装115克,其他_调味品
味好美白胡椒粉瓶装30克,其他_调味品
味好美黑胡椒粉瓶装30克,其他_调味品
乌江涪陵榨菜下饭菜开味菜酱腌菜玻璃瓶装300克,其他_调味品
乌江下饭菜红油豆豉袋装120克,其他_调味品
咸亨火腿腐乳玻璃瓶装350克,其他_调味品
湘菜诱惑剁椒脆笋玻璃瓶装248+12克,其他_调味品
湘菜诱惑剁椒脆笋玻璃瓶装248克,其他_调味品
湘菜诱惑湘西外婆菜玻璃瓶装248克,其他_调味品
心和之缘白砂糖袋装350克,其他_调味品
欣和葱伴侣6月香豆瓣酱盒装300克,其他_调味品
雪涛澳洲精制海盐（未加碘）袋装260克,其他_调味品
玉棠白砂糖袋装1000克,其他_调味品
媛家酱饭必备极味鲜虾酱玻璃瓶装220克,其他_调味品
媛家酱饭必备牛肉鲜椒酱玻璃瓶装220克,其他_调味品
媛家酱饭必备松茸菌菇酱玻璃瓶装220克,其他_调味品
媛家酱饭必备鲜椒酱玻璃瓶装220克,其他_调味品
媛家酱流沙咸蛋黄酱玻璃瓶装200克,其他_调味品
博鸿小菜炒榨菜丝袋装128克,其他_调味品
博鸿小菜航空榨菜丝袋装70克,其他_调味品
博鸿小菜萧山风味萝卜干袋装70克,其他_调味品
潮园纯正橄榄菜玻璃瓶装450克,其他_调味品
川南麻辣海带丝袋装53克,其他_调味品
川南麻辣萝卜干袋装53克,其他_调味品
川南泡椒木耳袋装53克,其他_调味品
川南酸辣海带丝袋装53克,其他_调味品
大茂脆笋玻璃瓶装350克,其他_调味品
东古金标耗油玻璃瓶装265克,其他_调味品
东古一品鲜酱油玻璃瓶装150毫升,其他_调味品
福临门玉米油瓶装900毫升,其他_调味品
海天酱油老抽王玻璃瓶装500毫升,其他_调味品
海天酱油鲜味生抽玻璃瓶装500毫升,其他_调味品
恒顺料酒玻璃瓶装500毫升,其他_调味品
恒顺酿造白醋玻璃瓶装500毫升,其他_调味品
恒顺乳黄瓜玻璃瓶装375克,其他_调味品
恒顺镇江香醋玻璃瓶装500毫升,其他_调味品
会稽山绍兴酒加饭酒玻璃瓶装500毫升,其他_调味品
吉香居风味豆豉玻璃瓶装210克,其他_调味品
吉香居红油榨菜玻璃瓶装426克,其他_调味品
吉香居爽脆笋丁泡菜玻璃瓶装266+40克,其他_调味品
吉香居下饭菜袋装106克,其他_调味品
吉香居下饭豆豉玻璃瓶装210克,其他_调味品
吉香居香葱豆豉玻璃瓶装210克,其他_调味品
吉香居香辣三丝玻璃瓶装330+96克,其他_调味品
金龙鱼香芝麻油玻璃瓶装400毫升,其他_调味品
金龙鱼小磨香油玻璃瓶装220毫升,其他_调味品
金龙鱼小磨香油玻璃瓶装400毫升,其他_调味品
李锦记熊猫牌番茄沙司玻璃瓶装340克,其他_调味品
雀巢鹰唛炼乳巧克力味袋装185克,其他_调味品
日清点心杯杯面鲜鲜虾仁风味盒装52克,其他_调味品
双鱼白米醋玻璃瓶装500毫升,其他_调味品
双鱼杭州香醋玻璃瓶装500毫升,其他_调味品
乌江涪陵榨菜清香清淡榨菜袋装80克,其他_调味品
乌江涪陵榨菜微辣榨菜袋装80克,其他_调味品
咸亨红方腐乳玻璃瓶装500克,其他_调味品
小车牌纯芝麻油玻璃瓶装400毫升,其他_调味品
小吃佬榨菜片袋装100克,其他_调味品
鱼泉榨菜袋装60克,其他_调味品
川南爽口下饭菜玻璃瓶装330克,其他_调味品
川崎火锅调料蘸料鲜辣盒装100克,其他_调味品
大茂幼笋玻璃瓶装350克,其他_调味品
佛手味精袋装500克,其他_调味品
临_冰糖蓝色袋装,其他_调味品
临_菜芯袋装,其他_调味品
临_碘盐袋装,其他_调味品
临_吉香居红油榨菜玻璃瓶装,其他_调味品
临_吉香居爽口下饭菜玻璃瓶装,其他_调味品
临_萝卜干袋装,其他_调味品
临_梅菜笋丝袋装,其他_调味品
临_寿司醋红盖玻璃瓶装,其他_调味品
临_腌萝卜袋装,其他_调味品
临_榨菜红字袋装,其他_调味品
临_榨菜黄盖玻璃瓶装,其他_调味品
爱之味番茄沙司玻璃瓶装160克,其他_调味品
爱之味甜辣酱玻璃瓶装160克,其他_调味品
博鸿小菜炒榨菜片袋装128克,其他_调味品
草原红太阳清真香辣烧烤酱袋装110克,其他_调味品
东古鱼生寿司特级酿造酱油玻璃瓶装200毫升,其他_调味品
亨氏番茄辣椒酱袋装320克,其他_调味品
亨氏番茄沙司袋装120克,其他_调味品
恒顺陈醋玻璃瓶装500毫升,其他_调味品
恒顺镇江陈醋玻璃瓶装500毫升,其他_调味品
李锦记财神蚝油玻璃瓶装255克,其他_调味品
李锦记纯香芝麻油玻璃瓶装207毫升,其他_调味品
临_阿胶红糖袋装,其他_调味品
临_冰糖绿色袋装,其他_调味品
临_纯芝麻油黄色瓶盖红色玻璃瓶装,其他_调味品
临_多力橄榄油玻璃瓶装,其他_调味品
临_黑色果酱玻璃瓶装,其他_调味品
临_恒顺牌醋黄色瓶黄盖玻璃瓶装,其他_调味品
临_黄色果酱玻璃瓶装,其他_调味品
临_姜汁红糖袋装,其他_调味品
临_酱油红色瓶盖黄色玻璃瓶装,其他_调味品
临_李锦记辣椒油玻璃瓶装,其他_调味品
临_玫瑰米醋玻璃瓶装,其他_调味品
临_食用油黄盖红贴纸玻璃瓶装,其他_调味品
临_小车黑芝麻油玻璃瓶装,其他_调味品
临_益母红糖袋装,其他_调味品
临_芝麻香油黑色瓶盖黄色玻璃瓶装,其他_调味品
丘比沙拉酱香甜味玻璃瓶装200克,其他_调味品
丘比沙拉酱原味玻璃瓶装200克,其他_调味品
三丰可味宁波雪菜袋装130克,其他_调味品
味好美番茄沙司瓶装340克,其他_调味品
咸亨香酥红方腐乳玻璃瓶装258克,其他_调味品
咸亨香酥玫瑰腐乳玻璃瓶装258克,其他_调味品
小车牌纯黑芝麻油玻璃瓶装450毫升,其他_调味品
小吃佬去皮榨菜丝袋装100克,其他_调味品
欣和六月鲜特级酱油玻璃瓶装160毫升,其他_调味品
云楼榨菜芯袋装158克,其他_调味品
王守义十三香卤料袋装24克,其他_调味品
太古金黄咖啡调糖包盒装250克,其他_调味品
恒顺饺子醋玻璃瓶装300毫升,其他_调味品
咸亨香糟卤玻璃瓶装500毫升,其他_调味品
李记乐宝李记土坛五香嘴脆豆角袋装55克,其他_调味品
老恒和玫瑰米醋玻璃瓶装500毫升,其他_调味品
海底捞鲜香味火锅蘸料盒装100克,其他_调味品
川南黄花下饭菜玻璃瓶装330克,其他_调味品
川南四川下饭菜玻璃瓶装330克,其他_调味品
雀巢鹰唛炼乳原味味袋装185克,其他_调味品
老恒和料酒玻璃瓶装500毫升,其他_调味品
杨氏纯芝麻油玻璃瓶装225毫升,其他_调味品
东古红烧酱油玻璃瓶装500毫升,其他_调味品
吉香居香菜芯玻璃瓶装306克,其他_调味品
川南口口脆榨菜袋装62克,其他_调味品
李记乐宝可口砣砣菜玻璃瓶装280克,其他_调味品
陶华碧老干妈红油腐乳玻璃瓶装260克,其他_调味品
家乐浓汤宝猪骨浓汤口味2块盒装64克,其他_调味品
味事达味极鲜特级酿造酱油玻璃瓶装760毫升,其他_调味品
哈瑞宝萌桃仔橡皮糖蜜桃味袋装100克,其他_糖果
旺仔QQ糖凝胶糖果蓝莓味袋装20克,其他_糖果
旺仔QQ糖凝胶糖果葡萄味袋装20克,其他_糖果
徐福记浓99醇浓鲜奶糖抹茶味袋装90克,其他_糖果
悠哈8.2特浓草莓牛奶糖袋装120克,其他_糖果
悠哈8.2特浓抹茶牛奶糖袋装103克,其他_糖果
悠哈8.2特浓巧克力牛奶糖袋装120克,其他_糖果
悠哈8.2特浓清凉牛奶糖袋装120克,其他_糖果
悠哈8.2特浓椰子牛奶糖袋装120克,其他_糖果
悠哈蜂蜜金桔润喉糖新滋润型袋装103克,其他_糖果
悠哈果汁软糖草莓味袋装52克,其他_糖果
悠哈果汁软糖葡萄味袋装52克,其他_糖果
春日井黑糖味糖果袋装142克,其他_糖果
春日井炭烧咖啡味糖袋装92克,其他_糖果
春日井微咸黑糖味糖果袋装110克,其他_糖果
哈瑞宝金熊橡皮糖混合水果味袋装100克,其他_糖果
哈瑞宝快乐可乐橡皮糖可乐味袋装100克,其他_糖果
乐天棉花牛牛软糖草莓牛奶味袋装63克,其他_糖果
乐天棉花牛牛软糖牛奶味袋装63克,其他_糖果
乐天棉花牛牛软糖酸奶味袋装63克,其他_糖果
乐天酸奶味软糖袋装50克,其他_糖果
森永HelloKitty草莓味粒舒糖罐装45克,其他_糖果
森永HelloKitty葡萄味粒舒糖罐装45克,其他_糖果
森永多乐福台湾特产水果风味硬糖罐装45克,其他_糖果
杉本屋果汁软糖葡萄味袋装37克,其他_糖果
四洲可乐糖袋装80克,其他_糖果
不二家棒棒糖蜜桃味+葡萄味+哈密瓜味+香橙味袋装125克,其他_糖果
