,id,sku_name
90,12059,Combo_Oasis Summer Fruits Plastic Bottle 1500 ml_Plastic Film 12 Plastic Bottle
91,12057,Combo_Monster Mixxd Punch Energy Sleek Can 500 ml_Transport Box 12 Sleek Can
92,11155,Volvic Touch of Fruit Lemon And Lime Plastic Bottle 750 ml
93,12047,Volvic Touch Of Fruit Summer Fruits Sugar Free Plastic Bottle 500 ml
94,11130,Volvic Touch Of Fruit Summer Fruits Plastic Bottle 500 ml
95,12033,Volvic Touch Of Fruit Sugar Free Orange Flavour Plastic Bottle 1500 ml
96,11153,Volvic Touch of Fruit Lemon And Lime Sugar Free Plastic Bottle 750 ml
97,11125,Volvic Natural Mineral Water Plastic Bottle 1000 ml
98,12044,Tango Tropical Sugar Free Plastic Bottle 600 ml
99,12029,Tango Strawberry Watermelon Sugar Free Plastic Bottle 600 ml
100,12030,Tango Strawberry Watermelon Sugar Free Plastic Bottle 2000 ml
101,12018,Tango Strawberry Watermelon Sugar Free Can 330 ml
102,12032,Tango Cherry Plastic Bottle 600 ml
103,12052,Tango Cherry Plastic Bottle 2000 ml
104,12031,Tango Apple Plastic Bottle 600 ml
105,12026,Tango Apple Plastic Bottle 2000 ml
106,12038,Starbucks Doubleshot Espresso Milk Can 200 ml
107,12022,Schweppes Orange Cordial Plastic Bottle 1000 ml
108,10947,Rockstar Juicde Energy Mango Orange Passionfruit Sleek Can 500 ml
109,12054,Rockstar Freeze Energy Watermelon Freeze Sleek Can 500 ml
110,12016,Rockstar Energy Drink Sleek Can 250 ml
111,11279,Rockstar Blueberry Pomegranate Acai Sleek Can 500 ml
112,12043,Ribena Strawberry Tetra 250 ml
113,12040,Ribena Pineapple And Passion Fruit Tetra 250 ml
114,11344,Ribena Mini Brilliant Blackcurrant Plastic Bottle 200 ml
115,12042,Ribena Blackcurrant Tetra 250 ml
116,12020,Ribena Blackcurrant Tetra 1000 ml
117,12041,IRN-BRU Sleek Can 500 ml
118,12027,Frutti Fresh Tutti Frutti Plastic Bottle 2000 ml
119,12028,Frutti Fresh Peach Plastic Bottle 2000 ml
120,12036,Fever-Tree Refreshingly Light Mediterranean Tonic Water Can 150 ml
121,12014,Fever-Tree Refreshingly Light Indian Tonic Water Can 150 ml
122,12034,Fever-Tree Refreshingly Light Aromatic Tonic Water Can 150 ml
123,12017,Fanta Zero Added Sugar Grape Plastic Bottle 2000 ml
124,12046,Emmi Caffe Latte Cappuccino Classic Remix Cup 230 ml
125,12025,Dr Pepper Can 150 ml
126,12024,Diet Coke No Sugar No Calories Can 150 ml
127,12019,Diet Coke Exotic Mango Plastic Bottle 1250 ml
