id,name,size,sizeUnit,category,brand,images,level1,level2,designChanges
3576,Coca-Cola No Sugar No Caffeine plastic bottle 1.5l,1.5,l,SSD,COCA COLA NO SUGAR NO CAFFEINE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3576/Front20190211083833/original,SSD,https://services.traxretail.com/images/traxus/ccza/Brands/431/20190627121006/original,
3572,Coca-Cola No Sugar No Caffeine plastic bottle 1l,1.0,l,SSD,COCA COLA NO SUGAR NO CAFFEINE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3572/Front20190211083833/original,SSD,https://services.traxretail.com/images/traxus/ccza/Brands/431/20190627121006/original,
3578,Coca-Cola No Sugar No Caffeine plastic bottle 2.25l,2.25,l,SSD,COCA COLA NO SUGAR NO CAFFEINE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3578/Front20190211083833/original,SSD,https://services.traxretail.com/images/traxus/ccza/Brands/431/20190627121006/original,
3577,Coca-Cola No Sugar No Caffeine plastic bottle 500ml,500.0,ml,SSD,COCA COLA NO SUGAR NO CAFFEINE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3577/Front20190211083833/original,SSD,https://services.traxretail.com/images/traxus/ccza/Brands/431/20190627121006/original,
3580,Coca-Cola No Sugar No Caffeine wrap plastic 6 X 200ml,300.0,ml,SSD,COCA COLA NO SUGAR NO CAFFEINE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3580/Front20190211083833/original,SSD,https://services.traxretail.com/images/traxus/ccza/Brands/431/20190627121006/original,
3579,Coca-Cola No Sugar No Caffeine wrap plastic 6 X 300ml,300.0,ml,SSD,COCA COLA NO SUGAR NO CAFFEINE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3579/Front20190211083833/original,SSD,https://services.traxretail.com/images/traxus/ccza/Brands/431/20190627121006/original,
533,COCA-COLA REGULAR 1 LT PET,1.0,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/543/original,SSD,https://services.traxretail.com/images/traxus/2/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/7026/original
534,COCA-COLA REGULAR 1.5 LT REFPET,1.5,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/544/original,SSD,https://services.traxretail.com/images/traxus/2/original,
535,COCA-COLA REGULAR 2 LT PET,2.0,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/545/original,SSD,https://services.traxretail.com/images/traxus/2/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/7030/original
536,COCA-COLA REGULAR 2.25 LT PET,2.25,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/546/original,SSD,https://services.traxretail.com/images/traxus/2/original,
537,COCA-COLA REGULAR 2.5 LT PET,2.5,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/547/original,SSD,https://services.traxretail.com/images/traxus/2/original,
528,COCA-COLA REGULAR 200 ML CAN,0.2,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/538/original,SSD,https://services.traxretail.com/images/traxus/2/original,
526,COCA-COLA REGULAR 200 ML RGB,0.2,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/536/original,SSD,https://services.traxretail.com/images/traxus/2/original,
527,COCA-COLA REGULAR 300 ML RGB,0.3,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/537/original,SSD,https://services.traxretail.com/images/traxus/2/original,
1449,Coca-Cola Regular 300ml PET,300.0,ml,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/9124/original,SSD,https://services.traxretail.com/images/traxus/2/original,
529,COCA-COLA REGULAR 330 ML CAN,0.33,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/539/original,SSD,https://services.traxretail.com/images/traxus/2/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/7031/original
530,COCA-COLA REGULAR 440 ML CAN,0.44,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/540/original,SSD,https://services.traxretail.com/images/traxus/2/original,https://services.traxretail.com/images/traxus/ccza/Dvc_Images/COCA-COLAREGULAR440MLCAN_24012018/0f471d20-04c4-11e8-9c8c-598085ed983b/original
1427,Coca-Cola Regular 440ml Pet,440.0,ml,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/9036/original,SSD,https://services.traxretail.com/images/traxus/2/original,
531,COCA-COLA REGULAR 500 ML PET,0.5,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/541/original,SSD,https://services.traxretail.com/images/traxus/2/original,
532,COCA-COLA REGULAR 500 ML RGB,0.5,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/542/original,SSD,https://services.traxretail.com/images/traxus/2/original,
1068,COCA-COLA REGULAR 6 PK 200 ML CAN,0.2,l,SSD,COCA-COLA,https://services.traxretail.com/images/traxus/ccza/Product_Images/1079/original,SSD,https://services.traxretail.com/images/traxus/2/original,
540,COCA-COLA ZERO 1 LT PET,1.0,l,SSD,COKE ZERO,https://services.traxretail.com/images/traxus/ccza/Product_Images/550/original,SSD,https://services.traxretail.com/images/traxus/9/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/7027/original
541,COCA-COLA ZERO 2 LT PET,2.0,l,SSD,COKE ZERO,https://services.traxretail.com/images/traxus/ccza/Product_Images/551/original,SSD,https://services.traxretail.com/images/traxus/9/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/7032/original
1445,Coca-Cola Zero 300ml PET,300.0,ml,SSD,COKE ZERO,https://services.traxretail.com/images/traxus/ccza/Product_Images/9108/original,SSD,https://services.traxretail.com/images/traxus/9/original,
538,COCA-COLA ZERO 330 ML CAN,0.33,l,SSD,COKE ZERO,https://services.traxretail.com/images/traxus/ccza/Product_Images/548/original,SSD,https://services.traxretail.com/images/traxus/9/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/7033/original
1245,COCA-COLA ZERO 440 ML CAN,0.44,l,SSD,COKE ZERO,https://services.traxretail.com/images/traxus/ccza/Product_Images/6145/original,SSD,https://services.traxretail.com/images/traxus/9/original,
1428,Coca-Cola Zero 440ml Pet,440.0,ml,SSD,COKE ZERO,https://services.traxretail.com/images/traxus/ccza/Product_Images/9040/original,SSD,https://services.traxretail.com/images/traxus/9/original,
539,COCA-COLA ZERO 500 ML PET,0.5,l,SSD,COKE ZERO,https://services.traxretail.com/images/traxus/ccza/Product_Images/549/original,SSD,https://services.traxretail.com/images/traxus/9/original,https://services.traxretail.com/images/traxus/ccza/Dvc_Images/213/Front20190225003602/original
545,COKE LIGHT 1 LT PET,1.0,l,SSD,COKE LIGHT,https://services.traxretail.com/images/traxus/ccza/Product_Images/555/original,SSD,https://services.traxretail.com/images/traxus/0/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/7025/original
546,COKE LIGHT 2 LT PET,2.0,l,SSD,COKE LIGHT,https://services.traxretail.com/images/traxus/ccza/Product_Images/556/original,SSD,https://services.traxretail.com/images/traxus/0/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/7028/original
